Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,Return/Average,Return/Std,Return/Median,Return/Min,Return/Max,NonzeroRewards/Average,NonzeroRewards/Std,NonzeroRewards/Median,NonzeroRewards/Min,NonzeroRewards/Max,DiscountedReturn/Average,DiscountedReturn/Std,DiscountedReturn/Median,DiscountedReturn/Min,DiscountedReturn/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,grad_norm_model/Average,grad_norm_model/Std,grad_norm_model/Median,grad_norm_model/Min,grad_norm_model/Max,grad_norm_actor/Average,grad_norm_actor/Std,grad_norm_actor/Median,grad_norm_actor/Min,grad_norm_actor/Max,grad_norm_value/Average,grad_norm_value/Std,grad_norm_value/Median,grad_norm_value/Min,grad_norm_value/Max,model_loss/Average,model_loss/Std,model_loss/Median,model_loss/Min,model_loss/Max,actor_loss/Average,actor_loss/Std,actor_loss/Median,actor_loss/Min,actor_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,prior_entropy/Average,prior_entropy/Std,prior_entropy/Median,prior_entropy/Min,prior_entropy/Max,post_entropy/Average,post_entropy/Std,post_entropy/Median,post_entropy/Min,post_entropy/Max,divergence/Average,divergence/Std,divergence/Median,divergence/Min,divergence/Max,reward_loss/Average,reward_loss/Std,reward_loss/Median,reward_loss/Min,reward_loss/Max,image_loss/Average,image_loss/Std,image_loss/Median,image_loss/Min,image_loss/Max,pcont_loss/Average,pcont_loss/Std,pcont_loss/Median,pcont_loss/Min,pcont_loss/Max
2,1000,999,8.415188312530518,1000,2,0,118.83275369024886,0.0,0.0,0.0,500.0,0.0,500.0,500,500,233.694399711338,6.011144797860524,233.694399711338,227.68325491347747,239.70554450919852,500.0,0.0,500.0,500,500,69.80511068524171,0.5088388085587425,69.80511068524171,69.29627187668298,70.31394949380046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,2000,1999,15.848756551742554,2000,4,0,134.52489676828483,0.0,0.0,0.0,500.0,0.0,500.0,500,500,266.3556302332911,34.257397321718834,262.69988289963345,227.68325491347747,312.3395002204198,500.0,0.0,500.0,500,500,73.17639063404962,4.295544159008702,71.5657748292496,69.29627187668298,80.27774100101637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,3000,2999,23.864630222320557,3000,6,0,124.75246505823397,0.0,0.0,0.0,500.0,0.0,500.0,500,500,273.50569774608147,32.16611407152003,276.14227811503565,227.68325491347747,312.3395002204198,500.0,0.0,500.0,500,500,75.7772799940069,7.5623481004055995,72.04868578346529,69.29627187668298,90.67834602561108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,4000,3999,31.89879083633423,4000,8,0,124.46850990951552,0.0,0.0,0.0,500.0,0.0,500.0,500,500,263.1894719773941,33.41888175395651,254.05818739498153,222.9555494927036,312.3395002204198,500.0,0.0,500.0,500,500,76.3992265473507,6.808629789632949,74.02305933957939,69.29627187668298,90.67834602561108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,5000,4999,39.24050688743591,5000,10,0,136.2079373595417,0.0,0.0,0.0,500.0,0.0,500.0,500,500,268.37014094874826,31.786327267334865,274.3854308099849,222.9555494927036,312.3395002204198,500.0,0.0,500.0,500,500,74.65832705245893,7.0945704119307225,72.04868578346529,65.32401880509926,90.67834602561108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,6000,5999,162.09085869789124,6000,12,0,8.13998482920823,0.0,0.0,0.0,500.0,0.0,500.0,500,500,259.98082831169387,41.34192716823306,270.1136473499482,162.4315704929499,312.3395002204198,500.0,0.0,500.0,500,500,74.9554162105165,8.899768022106375,72.04868578346529,61.57739270862468,91.30433129298403,11320.60259765625,31.655502443912937,11307.1328125,11302.416015625,11452.1953125,109.88489096641541,210.95772776902692,26.298775672912598,2.9963932037353516,992.164794921875,0.006502416796865873,0.004644256114762818,0.005386514123529196,0.0004969984875060618,0.015902305021882057,5.484622364714742,2.536724240540973,4.42085862159729,0.038070447742938995,11.177209854125977,11319.84259765625,31.36115172910272,11306.24560546875,11303.3291015625,11451.3779296875,-3.023454438149929,0.8505811177558246,-2.835866332054138,-4.81292724609375,-0.06810781359672546,3.7834652960300446,0.6727034323441439,3.8396079540252686,0.8860050439834595,5.506545066833496,35.678434219360355,0.018053080248283282,35.67720031738281,35.64482116699219,35.75056076049805,33.60027893066406,2.1327555223531007,33.77542304992676,27.341999053955078,36.58612060546875,3.0,0.0,3.0,3.0,3.0,1.0177064049243927,0.02282392364695301,1.0137739181518555,0.9927762150764465,1.19669508934021,11318.52490234375,31.346181197803045,11304.93212890625,11302.015625,11449.880859375,0.0,0.0,0.0,0.0,0.0
2,7000,6999,286.876891374588,7000,14,0,8.013717389275936,0.0,0.0,0.0,500.0,0.0,500.0,500,500,243.38583587069755,55.83709873465567,254.05818739498153,142.0829643419888,312.3395002204198,500.0,0.0,500.0,500,500,70.10614097790489,14.458544515318946,70.79686044801615,40.33108572714132,91.30433129298403,11296.191220703126,4.7167948100551085,11296.56298828125,11285.626953125,11303.3974609375,5.389242126941681,3.0757291241744174,4.604312419891357,1.8875904083251953,18.083864212036133,0.24634227910195478,0.3350111921626504,0.06361727602779865,0.0013896074378862977,1.0798470973968506,24.41076127052307,9.14964274241492,25.39286231994629,11.379223823547363,45.216285705566406,11303.439375,0.4852537722158448,11303.44677734375,11301.921875,11304.591796875,-10.843460545539855,4.6162115457231065,-10.264311790466309,-21.052162170410156,-4.880459308624268,3.5952510380744935,0.26357225755164515,3.5554834604263306,3.040905475616455,4.2525763511657715,34.15897304534912,2.6753732730320814,34.12457275390625,27.23436737060547,37.41078567504883,30.947793560028074,2.1224208011418653,31.354772567749023,22.978849411010742,34.251953125,3.0068657755851746,0.039945726005228624,3.0,3.0,3.29046368598938,1.0144004780054092,0.011426464381583696,1.0146401524543762,0.9909619688987732,1.0493990182876587,11302.124287109375,0.4816096332909378,11302.123046875,11300.609375,11303.267578125,0.0,0.0,0.0,0.0,0.0
2,8000,7999,415.2060122489929,8000,16,0,7.7924635748007285,0.0,0.0,0.0,500.0,0.0,500.0,500,500,231.12304271616577,61.488198238871355,240.61579217957933,142.0829643419888,312.3395002204198,500.0,0.0,500.0,500,500,66.62478137632098,16.36534931195149,70.18969441724246,40.33108572714132,91.30433129298403,11267.438310546875,10.313429873122432,11269.16064453125,11246.775390625,11284.5966796875,7.727362506389618,3.2420662749698885,6.710586786270142,1.7659201622009277,18.09522819519043,0.049045696239918474,0.09357280316568684,0.02051036898046732,0.006974097806960344,0.5631871223449707,38.07617374420166,9.175025578779975,37.553653717041016,21.245553970336914,65.19052124023438,11302.297109375,0.574491510207325,11302.3203125,11300.2333984375,11303.7861328125,-38.14922904968262,10.759126115167543,-35.34684753417969,-60.12372970581055,-21.442638397216797,3.2904524302482603,0.6049278995500634,3.1046139001846313,2.4840362071990967,5.196768760681152,34.517930793762204,2.5902865675842643,33.188547134399414,29.443937301635742,37.58986282348633,28.65668966293335,2.3676829372377393,29.08296298980713,21.978879928588867,31.75724220275879,3.0025950384140017,0.018672414825608278,3.0,3.0,3.1603150367736816,1.0059041672945022,0.011026147102463132,1.0050234198570251,0.9781880378723145,1.035152554512024,11300.990947265625,0.5701279074225283,11301.0087890625,11298.947265625,11302.474609375,0.0,0.0,0.0,0.0,0.0
2,9000,8999,545.0614097118378,9000,18,0,7.700873583526839,0.0,0.0,0.0,500.0,0.0,500.0,500,500,221.40919710037718,64.15331273209075,233.694399711338,142.0829643419888,312.3395002204198,500.0,0.0,500.0,500,500,63.80349879470763,17.37110407676639,69.68085560868371,40.33108572714132,91.30433129298403,11250.184521484374,13.972816884581448,11243.60498046875,11233.6767578125,11277.298828125,9.799153981208802,6.859446837328846,7.585030555725098,1.645827054977417,37.4004020690918,0.03091762966825627,0.024868111739416467,0.02122113388031721,0.0018996861763298512,0.11719199270009995,74.66620942115783,46.81796287761257,60.83148956298828,10.34812068939209,155.99436950683594,11301.527626953124,0.5461077956765943,11301.474609375,11300.0078125,11302.9296875,-55.87562005996704,14.25780513911127,-62.194427490234375,-72.0126724243164,-28.35700798034668,4.532483894824981,0.897946385654425,4.443996429443359,2.9954986572265625,6.543919563293457,28.933996181488038,0.17181697171942004,28.942309379577637,28.59477996826172,29.33588981628418,29.523470439910888,1.0079207813400013,29.744291305541992,27.567895889282227,30.857574462890625,3.0,0.0,3.0,3.0,3.0,1.00129627764225,0.011465174892443116,1.0000110864639282,0.9745078086853027,1.0310969352722168,11300.226337890625,0.5396206889630908,11300.17724609375,11298.7333984375,11301.6064453125,0.0,0.0,0.0,0.0,0.0
2,10000,9999,676.3272175788879,10000,20,0,7.618130084666291,0.0,0.0,0.0,500.0,0.0,500.0,500,500,219.12658565731158,61.72226966643739,225.31940220309053,142.0829643419888,312.3395002204198,500.0,0.0,500.0,500,500,64.08863706037243,16.73638811054196,69.68085560868371,40.33108572714132,91.30433129298403,11275.27783203125,1.2498205857265023,11275.23876953125,11271.59375,11278.1318359375,21.27937870025635,25.571307785409605,10.351394176483154,3.1542627811431885,141.79722595214844,1.351694291755557,1.2909129675459003,0.7119534611701965,0.10513317584991455,4.712821960449219,22.779555336236953,10.59632814108175,22.86655330657959,1.926642656326294,40.598541259765625,11300.647958984375,0.6813067140682609,11300.6416015625,11299.29296875,11303.5712890625,-27.96640661239624,1.655033904124785,-28.06487464904785,-31.410560607910156,-24.771188735961914,2.5963151943683624,0.8292841147155819,2.4316940307617188,1.4060335159301758,5.1301960945129395,30.535240535736083,2.18375282905119,31.457446098327637,22.98985481262207,32.676822662353516,28.767555160522463,3.092266456259663,28.3349027633667,17.912002563476562,33.48187255859375,3.0249449467658995,0.14613998463811392,3.0,3.0,4.266641139984131,0.9893949776887894,0.011728549987565102,0.9891601204872131,0.966045081615448,1.0202879905700684,11299.356083984376,0.6743326300744491,11299.3525390625,11298.017578125,11302.2509765625,0.0,0.0,0.0,0.0,0.0
