Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,Return/Average,Return/Std,Return/Median,Return/Min,Return/Max,NonzeroRewards/Average,NonzeroRewards/Std,NonzeroRewards/Median,NonzeroRewards/Min,NonzeroRewards/Max,DiscountedReturn/Average,DiscountedReturn/Std,DiscountedReturn/Median,DiscountedReturn/Min,DiscountedReturn/Max,GameScore/Average,GameScore/Std,GameScore/Median,GameScore/Min,GameScore/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,grad_norm_model/Average,grad_norm_model/Std,grad_norm_model/Median,grad_norm_model/Min,grad_norm_model/Max,grad_norm_actor/Average,grad_norm_actor/Std,grad_norm_actor/Median,grad_norm_actor/Min,grad_norm_actor/Max,grad_norm_value/Average,grad_norm_value/Std,grad_norm_value/Median,grad_norm_value/Min,grad_norm_value/Max,model_loss/Average,model_loss/Std,model_loss/Median,model_loss/Min,model_loss/Max,actor_loss/Average,actor_loss/Std,actor_loss/Median,actor_loss/Min,actor_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,prior_entropy/Average,prior_entropy/Std,prior_entropy/Median,prior_entropy/Min,prior_entropy/Max,post_entropy/Average,post_entropy/Std,post_entropy/Median,post_entropy/Min,post_entropy/Max,divergence/Average,divergence/Std,divergence/Median,divergence/Min,divergence/Max,reward_loss/Average,reward_loss/Std,reward_loss/Median,reward_loss/Min,reward_loss/Max,image_loss/Average,image_loss/Std,image_loss/Median,image_loss/Min,image_loss/Max,pcont_loss/Average,pcont_loss/Std,pcont_loss/Median,pcont_loss/Min,pcont_loss/Max
3,709,999,4.812011003494263,1000,3,0,207.81332363409928,0.0,0.0,0.0,236.33333333333334,86.27990624833932,266.0,119,324,63.0,74.73954776421918,21.0,0.0,168.0,3.0,3.559026084010437,1.0,0,8,26.256569528527383,25.553707726186765,17.880613192992385,0.0,60.889095392589766,63.0,74.73954776421918,21.0,0.0,168.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1887,1999,9.27735185623169,2000,7,0,223.94706988313362,0.0,0.0,0.0,269.57142857142856,64.71665085555018,290.0,119,324,84.0,63.49803146555018,105.0,0.0,168.0,4.0,3.0237157840738176,5.0,0,8,31.312576862311726,21.84513251789935,39.816988979964194,0.0,60.889095392589766,84.0,63.49803146555018,105.0,0.0,168.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,2934,2999,13.624217748641968,3000,11,0,230.05080551162658,0.0,0.0,0.0,266.72727272727275,71.65585798433423,295.0,119,328,89.72727272727273,59.4582984636993,105.0,0.0,168.0,4.2727272727272725,2.831347545890443,5.0,0,8,30.449037148191493,18.344571354985373,34.33538439133412,0.0,60.889095392589766,89.72727272727273,59.4582984636993,105.0,0.0,168.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3915,3999,17.874370336532593,4000,14,0,235.28567017785724,0.0,0.0,0.0,279.64285714285717,69.11027124702039,298.5,119,359,93.0,53.665631459994955,105.0,0.0,168.0,4.428571428571429,2.5555062599997593,5.0,0,8,32.271370212624774,17.3175551040203,34.048401410193144,0.0,60.889095392589766,93.0,53.665631459994955,105.0,0.0,168.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,4916,4999,21.852524757385254,5000,18,0,251.37284635262202,0.0,0.0,0.0,273.1111111111111,71.70687932973989,296.5,119,359,92.16666666666667,51.97889528987275,105.0,0.0,168.0,4.388888888888889,2.4751854899939407,5.0,0,8,32.10496333447157,16.544443565562727,34.89174314881245,0.0,60.889095392589766,92.16666666666667,51.97889528987275,105.0,0.0,168.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,5994,5999,141.00369906425476,6000,22,0,8.392699491358234,0.0,0.0,0.0,272.45454545454544,68.89037884582042,296.0,119,359,90.68181818181819,48.381426153992344,105.0,0.0,168.0,4.318181818181818,2.3038774359043974,5.0,0,8,32.06280555453929,15.73588917567279,34.89174314881245,0.0,60.889095392589766,90.68181818181819,48.381426153992344,105.0,0.0,168.0,11541.07609375,367.7029826003513,11385.72265625,11327.328125,12998.1005859375,1630.5724535751342,1114.6799251346479,1284.260498046875,56.309322357177734,4964.1865234375,0.1304313822009135,0.12940235374538123,0.06584314815700054,0.0007393949199467897,0.4667172133922577,6.900452720187604,6.011850113789407,4.983734607696533,0.016438979655504227,21.73580551147461,11542.239296875,367.06218436675715,11386.4560546875,11332.037109375,12997.9140625,-3.1065049465559422,2.0492257682044306,-2.857399582862854,-7.585898399353027,-0.017475387081503868,1.943347315788269,0.8951653968204123,1.8206212520599365,0.2036287784576416,4.08431339263916,31.066532726287843,7.5420250769292725,29.267645835876465,19.750822067260742,44.838375091552734,20.74072078704834,9.426229790685696,15.973435401916504,10.820704460144043,41.62142562866211,11.593630719184876,5.675444704398177,10.594802856445312,3.0,33.75265121459961,4.39848822593689,0.42405018273029904,4.390177965164185,3.456324815750122,5.336659908294678,11535.9766796875,365.885567739483,11381.05078125,11326.818359375,12986.564453125,0.07048040905967355,0.1337649683055152,0.026743772439658642,0.006778201088309288,0.6967921853065491
3,6839,6999,264.42835807800293,7000,25,0,8.102108670914868,0.0,0.0,0.0,273.56,64.91537876343325,295.0,119,359,94.08,47.931551195428675,105.0,0.0,168.0,4.48,2.2824548188299367,5.0,0,8,33.87003973390374,17.02807729882508,35.44810190629078,0.0,69.42325002831129,94.08,47.931551195428675,105.0,0.0,168.0,11329.662451171875,15.972641613721029,11329.876953125,11296.470703125,11377.318359375,757.373736114502,487.72422507051596,737.5784912109375,64.31298065185547,2567.478271484375,0.06342135488986969,0.04346289635394429,0.04901847243309021,0.012729442678391933,0.2342364639043808,30.405831871032714,9.322733373557208,30.40285873413086,14.334125518798828,53.03065490722656,11344.07935546875,14.100019347820128,11341.3642578125,11321.8203125,11394.34765625,-17.136915426254273,5.989375401537448,-17.502674102783203,-30.575014114379883,-7.635432243347168,2.7200438272953034,0.5235933873459402,2.8748859167099,1.7751519680023193,3.7766971588134766,16.34857476234436,3.2869968525030098,15.534723281860352,11.523222923278809,27.849590301513672,8.678187065124511,1.9060873305474693,8.263416290283203,4.875095367431641,15.473312377929688,6.782576205730439,1.4479475485862234,6.578490495681763,3.2268166542053223,11.178712844848633,4.319970488548279,0.4719029911694154,4.386673450469971,3.1940674781799316,5.416044235229492,11338.843017578125,13.983702418259252,11336.28955078125,11317.1962890625,11389.380859375,0.02381627175025642,0.0064564753006701205,0.023853966034948826,0.007265372201800346,0.04404507204890251
4,7988,7999,390.39534091949463,8000,29,0,7.938588171619004,0.0,0.0,0.0,275.44827586206895,61.05429251869506,295.0,119,359,91.24137931034483,45.90143501055863,105.0,0.0,168.0,4.344827586206897,2.185782619550411,5.0,0,8,32.020089996794304,16.959968378119008,34.33538439133412,0.0,69.42325002831129,91.24137931034483,45.90143501055863,105.0,0.0,168.0,11279.869228515625,16.43794619406174,11279.63720703125,11250.2509765625,11314.798828125,468.6896688079834,253.88132420685145,468.218994140625,50.122642517089844,1329.656494140625,0.018994645765051246,0.01712976511196553,0.014093117322772741,0.005168348550796509,0.11970006674528122,82.58062339305877,43.53327066181029,81.78622436523438,4.29288911819458,178.98495483398438,11329.21236328125,5.76313705467897,11327.45849609375,11318.4228515625,11352.8076171875,-56.88822534561157,17.724081017840536,-55.00237464904785,-89.31031799316406,-28.052227020263672,7.545060884952545,2.550910386639712,6.877087116241455,3.700300693511963,14.010369300842285,11.794288892745971,2.1887973633836117,11.030351638793945,8.773629188537598,19.03459358215332,5.648340129852295,0.7486216692540606,5.596296548843384,3.719125747680664,7.966577053070068,5.717516560554504,2.976276302636877,4.832393646240234,3.0,18.921661376953125,4.371843078136444,0.4337742458115873,4.343982934951782,3.1983768939971924,5.598208427429199,11324.026455078125,5.724545326826795,11322.3505859375,11313.91015625,11347.5361328125,0.024232472283765672,0.005123182555980549,0.023978627286851406,0.014133580960333347,0.035218555480241776
3,8915,8999,519.0694839954376,9000,32,0,7.771569144313662,0.0,0.0,0.0,278.59375,59.11527899737512,296.0,119,359,91.875,43.84614435728642,105.0,0.0,168.0,4.375,2.0879116360612584,5.0,0,8,31.765698692851217,16.27333806017689,34.048401410193144,0.0,69.42325002831129,91.875,43.84614435728642,105.0,0.0,168.0,11246.50091796875,35.87861932522661,11240.29931640625,11191.4140625,11338.3486328125,674.452535572052,533.8411742902493,581.5533447265625,19.392595291137695,2468.9912109375,0.014954564387444406,0.014322072902077454,0.010616459418088198,0.0026404450181871653,0.06518130749464035,154.93721796035766,91.49269396289426,153.59722900390625,8.102505683898926,362.72161865234375,11335.94478515625,17.595806735504713,11329.01953125,11318.22265625,11408.318359375,-118.83406166076661,19.345211371917483,-114.10229873657227,-151.13893127441406,-88.76826477050781,29.39022922515869,20.574327503878084,23.427824020385742,11.109383583068848,99.74945068359375,11.722127752304077,2.8687024577203823,10.837818145751953,6.696171760559082,18.390708923339844,6.215772323608398,1.3271859399320463,5.981993198394775,4.137327194213867,9.086079597473145,5.1759766936302185,2.249645055071421,4.304479122161865,3.0,11.442808151245117,4.281412699222565,0.4388626508083145,4.303624868392944,2.9296319484710693,5.769214153289795,11330.91412109375,17.495369392729742,11324.435546875,11312.8291015625,11403.2734375,0.02316463364288211,0.005885605363389833,0.02256872784346342,0.009989849291741848,0.03923865780234337
3,9813,9999,645.9936883449554,10000,35,0,7.878717894076749,0.0,0.0,0.0,280.37142857142857,56.892924849748965,295.0,119,359,94.8,43.291569618113876,105.0,0.0,168.0,4.514285714285714,2.0615033151482796,5.0,0,8,33.22447495060247,16.559942335776405,34.33538439133412,0.0,69.42325002831129,94.8,43.291569618113876,105.0,0.0,168.0,11196.022919921876,15.96974061910267,11193.166015625,11179.4501953125,11302.8896484375,264.1911256790161,183.5638081177193,242.8617935180664,19.3749942779541,812.8350219726562,0.0026146739406976848,0.0006450469255897468,0.0024835573276504874,0.0014364597154781222,0.00470902631059289,103.67974052429199,105.19214215591961,72.4657096862793,10.103920936584473,800.5284423828125,11323.7948046875,3.918431687466717,11323.15576171875,11316.2646484375,11337.96484375,-147.8977328491211,2.572451554411531,-147.73287963867188,-153.22158813476562,-140.55836486816406,20.125852060317992,14.547134513091498,16.01827621459961,11.04248046875,117.65022277832031,7.721427040100098,1.0192368960261844,7.679755449295044,5.477131366729736,9.991926193237305,4.022283554077148,0.7103999066431769,3.8602863550186157,2.792107343673706,5.738091945648193,3.4824716949462893,0.5616644693187791,3.287877917289734,3.0,5.134591102600098,4.290380058288574,0.4408015244988956,4.3002166748046875,3.3575210571289062,5.4283270835876465,11318.918662109376,3.885140980245413,11318.19580078125,11311.57421875,11332.7607421875,0.02374708035029471,0.005673226440166932,0.023178248666226864,0.010630163364112377,0.037820227444171906
